"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"10866",1882.27970840692,0.724021986650971,0.0900079124321449,1.74280280185232e-16,2.94870517752056e-14
"112935969",102.332807228821,1.1842078056458,0.149281692597554,1.83424799795288e-16,3.07756243256527e-14
"2624",284.042535807642,-1.4039052201677,0.176266426471571,1.9778730792501e-16,3.29111541963814e-14
"10346",10323.9988795576,1.44110257050929,0.18310047237482,2.10203320791916e-16,3.46904398428233e-14
"57085",1027.67858492002,1.01117355600844,0.127458033101377,2.23861584533668e-16,3.66441393739908e-14
"3009",981.364138250489,1.51436645534195,0.193106669854104,2.44528804541242e-16,3.970437863414e-14
"672",445.627725504039,0.77888615178194,0.098081382359007,3.37263709243113e-16,5.43237401752067e-14
"965",815.998380917819,0.928215448839245,0.117699775048102,4.06234142863327e-16,6.49136367651605e-14
"113540",434.126228731782,1.1537808358925,0.147500836743166,4.39602249513409e-16,6.96925330055352e-14
"338339",875.102717414611,1.86121357111022,0.240964609532974,4.55071195133821e-16,7.15812768970653e-14
"4051",2942.14958685215,1.06634775407216,0.136170790583322,4.67710431461773e-16,7.29990839306306e-14
"103352539",638.629993520199,1.1496420236431,0.147125899632416,4.87445317268869e-16,7.54940309068569e-14
"64757",698.076465395727,1.41175882136531,0.181841589803851,4.93407905791325e-16,7.58341585893323e-14
"78996",1493.33776129779,0.962354802056867,0.122623134304579,4.98522201304217e-16,7.6039742432266e-14
"9034",122.013288379668,1.47654900097693,0.190894150051783,5.38555761808704e-16,8.09200127481824e-14
"9133",61.2819602424066,1.44336161726746,0.18600019627841,5.34606805713867e-16,8.09200127481824e-14
"834",3108.18779669554,0.989620582316148,0.126735099868244,6.37060650055076e-16,9.47041088285623e-14
"3679",58.863970184384,2.47158717690699,0.324453701869645,6.39701937055949e-16,9.47041088285623e-14
"2206",68.4646582035942,-1.81244608754674,0.232205549579053,6.7181935376306e-16,9.83401338605355e-14
"51207",18.786529916312,2.71347614884546,0.354091442921551,6.74030916497164e-16,9.83401338605355e-14
"196883",197.421877941504,1.20955538549881,0.155615212217896,6.963579405103e-16,1.00866696217514e-13
